orig.sequence,sequence,date_collected,accession,community
MiniSchr.HQ613158,MiniSchr.HQ613158|bat|2008,2008,HQ613158,bat
MiniSchr.HQ613167,MiniSchr.HQ613167|bat|2008,2008,HQ613167,bat
MiniSchr.JQ814856,MiniSchr.JQ814856|bat|2010,2010,JQ814856,bat
MyotRick.EU847166,MyotRick.EU847166|bat|2004,2004,EU847166,bat
HippArmi.FJ571094,HippArmi.FJ571094|bat|2007,2007,FJ571094,bat
TaphMela.FJ571090,TaphMela.FJ571090|bat|2007,2007,FJ571090,bat
MiniPusi.EU847197,MiniPusi.EU847197|bat|2005,2005,EU847197,bat
TaphMela.FJ571122,TaphMela.FJ571122|bat|2007,2007,FJ571122,bat
MyotRick.EU847162,MyotRick.EU847162|bat|2004,2004,EU847162,bat
ScotKuhl.KJ571385,ScotKuhl.KJ571385|bat|2008,2008,KJ571385,bat
HippLarv.KJ571394,HippLarv.KJ571394|bat|2008,2008,KJ571394,bat
RhinPusi.KJ571428,RhinPusi.KJ571428|bat|2009,2009,KJ571428,bat
Swin.HM756267,Swin.HM756267|pig|2006,2006,HM756267,pig
Swin.HM756262,Swin.HM756262|pig|2006,2006,HM756262,pig
SusScroDome.KJ533344,SusScroDome.KJ533344|pig|2012,2012,KJ533344,pig
SusScroDome.KJ533345,SusScroDome.KJ533345|pig|2012,2012,KJ533345,pig
SusScroDome.KJ533348,SusScroDome.KJ533348|pig|2012,2012,KJ533348,pig
SusScroDome.KJ533355,SusScroDome.KJ533355|pig|2012,2012,KJ533355,pig
SusScroDome.KJ533357,SusScroDome.KJ533357|pig|2012,2012,KJ533357,pig
SusScroDome.KJ533364,SusScroDome.KJ533364|pig|2012,2012,KJ533364,pig
SusScroDome.JX519275,SusScroDome.JX519275|pig|2011,2011,JX519275,pig
SusScroDome.JX519276,SusScroDome.JX519276|pig|2011,2011,JX519276,pig
SusScroDome.JX519281,SusScroDome.JX519281|pig|2011,2011,JX519281,pig
Pig.HQ647383,Pig.HQ647383|pig|2009,2009,HQ647383,pig
LaboMous.JQ408739,LaboMous.JQ408739|rodent|2011,2011,JQ408739,rodent
RattNorv.HM450385,RattNorv.HM450385|rodent|2008,2008,HM450385,rodent
MusMusc.JF755422,MusMusc.JF755422|rodent|2012,2008,JF755422,rodent
NiviEha.KJ571477,NiviEha.KJ571477|rodent|2012,2012,KJ571477,rodent
EothCach.KJ571439,EothCach.KJ571439|rodent|2012,2012,KJ571439,rodent
EothCach.KJ571440,EothCach.KJ571440|rodent|2012,2012,KJ571440,rodent
EothCach.KJ571442,EothCach.KJ571442|rodent|2012,2012,KJ571442,rodent
EothCach.KJ571449,EothCach.KJ571449|rodent|2012,2012,KJ571449,rodent
EothCach.KJ571450,EothCach.KJ571450|rodent|2012,2012,KJ571450,rodent
EothCach.KJ571456,EothCach.KJ571456|rodent|2012,2012,KJ571456,rodent
EothCach.KJ571460,EothCach.KJ571460|rodent|2012,2012,KJ571460,rodent
VoleMill.KJ571473,VoleMill.KJ571473|rodent|2012,2012,KJ571473,rodent
HomoSapi.FJ755403,HomoSapi.FJ755403|human|2006,2006,FJ755403,human
HomoSapi.KC342249,HomoSapi.KC342249|human|2012,2012,KC342249,human
HomoSapi.JQ403108,HomoSapi.JQ403108|human|2010,2010,JQ403108,human
HomoSapi.HM120878,HomoSapi.HM120878|human|2009,2009,HM120878,human
HomoSapi.JF491430,HomoSapi.JF491430|human|2004,2004,JF491430,human
HomoSapi.GQ267696,HomoSapi.GQ267696|human|2008,2008,GQ267696,human
HomoSapi.JX179278,HomoSapi.JX179278|human|1983,1983,JX179278,human
HomoSapi.JQ673585,HomoSapi.JQ673585|human|2011,2011,JQ673585,human
HomoSapi.JX857869,HomoSapi.JX857869|human|2008,2008,JX857869,human
HomoSapi.GQ502191,HomoSapi.GQ502191|human|2008,2008,GQ502191,human
HomoSapi.JQ673581,HomoSapi.JQ673581|human|2011,2011,JQ673581,human
HomoSapi.HM989955,HomoSapi.HM989955|human|2009,2009,HM989955,human
